song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A Dangerous Meeting,Mercyful Fate,50,0.271,0.927,4,-9.57,0,0.0683,0.00963,0.438,0.34,0.502,138.413,audio_features,0V7iTNAnyoOqcZz54lGA4E,spotify:track:0V7iTNAnyoOqcZz54lGA4E,https://api.spotify.com/v1/tracks/0V7iTNAnyoOqcZz54lGA4E,https://api.spotify.com/v1/audio-analysis/0V7iTNAnyoOqcZz54lGA4E,312760,4
Fade To Black - Remastered,Metallica,70,0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,audio_features,5nekfiTN45vlxG0eNJQQye,spotify:track:5nekfiTN45vlxG0eNJQQye,https://api.spotify.com/v1/tracks/5nekfiTN45vlxG0eNJQQye,https://api.spotify.com/v1/audio-analysis/5nekfiTN45vlxG0eNJQQye,417227,4
Princess of the Night - 2009 Remastered Version,Saxon,53,0.362,0.797,3,-8.824,0,0.0424,0.00328,2e-06,0.0668,0.753,107.249,audio_features,2QpP8SyXrumYR5BlcdJgTV,spotify:track:2QpP8SyXrumYR5BlcdJgTV,https://api.spotify.com/v1/tracks/2QpP8SyXrumYR5BlcdJgTV,https://api.spotify.com/v1/audio-analysis/2QpP8SyXrumYR5BlcdJgTV,242573,4
Teutonic Terror,Accept,58,0.324,0.976,9,-3.84,1,0.0679,0.000157,0.000379,0.11,0.593,124.236,audio_features,3crIa21lfjekujCQuGjlJT,spotify:track:3crIa21lfjekujCQuGjlJT,https://api.spotify.com/v1/tracks/3crIa21lfjekujCQuGjlJT,https://api.spotify.com/v1/audio-analysis/3crIa21lfjekujCQuGjlJT,313587,4
Omerta,Lamb of God,61,0.413,0.982,6,-4.079,0,0.201,0.00242,0.00112,0.323,0.155,118.504,audio_features,4Vb5Y6RQztThqqqFre24wL,spotify:track:4Vb5Y6RQztThqqqFre24wL,https://api.spotify.com/v1/tracks/4Vb5Y6RQztThqqqFre24wL,https://api.spotify.com/v1/audio-analysis/4Vb5Y6RQztThqqqFre24wL,285962,4
Only for the Weak,In Flames,64,0.418,0.835,0,-4.824,0,0.0449,2.33e-06,0.766,0.289,0.549,104.986,audio_features,0JBQnLKfLXmlkquabLtAgd,spotify:track:0JBQnLKfLXmlkquabLtAgd,https://api.spotify.com/v1/tracks/0JBQnLKfLXmlkquabLtAgd,https://api.spotify.com/v1/audio-analysis/0JBQnLKfLXmlkquabLtAgd,294867,4
Alexander the Great (356-323 B.C.) - 2015 Remaster,Iron Maiden,54,0.454,0.944,4,-5.003,0,0.0849,0.084,0.0119,0.11,0.288,113.321,audio_features,2mpdTbHtsUTbunJ62itq2E,spotify:track:2mpdTbHtsUTbunJ62itq2E,https://api.spotify.com/v1/tracks/2mpdTbHtsUTbunJ62itq2E,https://api.spotify.com/v1/audio-analysis/2mpdTbHtsUTbunJ62itq2E,517093,4
A New Level - 2012 Remaster,Pantera,50,0.324,0.925,6,-6.122,0,0.0883,2.57e-05,0.257,0.092,0.413,136.614,audio_features,0tw2Cs19cFS98t1VzLD7tJ,spotify:track:0tw2Cs19cFS98t1VzLD7tJ,https://api.spotify.com/v1/tracks/0tw2Cs19cFS98t1VzLD7tJ,https://api.spotify.com/v1/audio-analysis/0tw2Cs19cFS98t1VzLD7tJ,237547,4
Trapped Under Ice - Remastered,Metallica,56,0.252,0.988,9,-5.291,1,0.203,8.81e-05,0.0451,0.0516,0.0529,162.945,audio_features,3J8jTThxk8GtxyoupHtyrb,spotify:track:3J8jTThxk8GtxyoupHtyrb,https://api.spotify.com/v1/tracks/3J8jTThxk8GtxyoupHtyrb,https://api.spotify.com/v1/audio-analysis/3J8jTThxk8GtxyoupHtyrb,244067,4
Evil,Mercyful Fate,53,0.288,0.904,0,-9.455,1,0.114,0.000273,0.382,0.0894,0.556,133.838,audio_features,5pH1BecbNktYDbYw0XCEWn,spotify:track:5pH1BecbNktYDbYw0XCEWn,https://api.spotify.com/v1/tracks/5pH1BecbNktYDbYw0XCEWn,https://api.spotify.com/v1/audio-analysis/5pH1BecbNktYDbYw0XCEWn,284960,4
