song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Reaching,Chama Wijnen,48,0.313,0.00729,9,-29.599,1,0.0388,0.993,0.796,0.106,0.0799,72.082,audio_features,0KvgYjNjdjpgjanBhUnSfO,spotify:track:0KvgYjNjdjpgjanBhUnSfO,https://api.spotify.com/v1/tracks/0KvgYjNjdjpgjanBhUnSfO,https://api.spotify.com/v1/audio-analysis/0KvgYjNjdjpgjanBhUnSfO,176500,4
Pads of Redemption,Masala Roo,54,0.274,0.0417,0,-23.499,0,0.034,0.902,0.903,0.112,0.0613,43.513,audio_features,5I3JZ3zvxKQMdp9rEcGkiR,spotify:track:5I3JZ3zvxKQMdp9rEcGkiR,https://api.spotify.com/v1/tracks/5I3JZ3zvxKQMdp9rEcGkiR,https://api.spotify.com/v1/audio-analysis/5I3JZ3zvxKQMdp9rEcGkiR,168537,4
In my quiet hour,Nicholas Sipka,50,0.229,0.0017,11,-28.984,1,0.0447,0.99,0.948,0.105,0.45,71.106,audio_features,4YhwpzwqfWEt04ki6wLUVk,spotify:track:4YhwpzwqfWEt04ki6wLUVk,https://api.spotify.com/v1/tracks/4YhwpzwqfWEt04ki6wLUVk,https://api.spotify.com/v1/audio-analysis/4YhwpzwqfWEt04ki6wLUVk,126050,4
The Healing Process,Koh Lantana,55,0.241,0.0553,3,-23.605,1,0.0336,0.926,0.93,0.108,0.0643,135.859,audio_features,23puVz6Rhiq8Wax9KxnZtW,spotify:track:23puVz6Rhiq8Wax9KxnZtW,https://api.spotify.com/v1/tracks/23puVz6Rhiq8Wax9KxnZtW,https://api.spotify.com/v1/audio-analysis/23puVz6Rhiq8Wax9KxnZtW,161442,1
Hey Pachuco!,Royal Crown Revue,50,0.6,0.791,7,-6.484,0,0.0622,0.0246,0.0996,0.0796,0.317,137.588,audio_features,1z1m5WqzxzjRy4VGJMK2ft,spotify:track:1z1m5WqzxzjRy4VGJMK2ft,https://api.spotify.com/v1/tracks/1z1m5WqzxzjRy4VGJMK2ft,https://api.spotify.com/v1/audio-analysis/1z1m5WqzxzjRy4VGJMK2ft,214107,4
Zoot Suit Riot,Cherry Poppin' Daddies,49,0.568,0.706,8,-8.679,0,0.0837,0.175,0.0,0.157,0.896,184.126,audio_features,1qmJbXpVLydNcN6VTR40GU,spotify:track:1qmJbXpVLydNcN6VTR40GU,https://api.spotify.com/v1/tracks/1qmJbXpVLydNcN6VTR40GU,https://api.spotify.com/v1/audio-analysis/1qmJbXpVLydNcN6VTR40GU,233039,4
Man with the Hex,The Atomic Fireballs,49,0.647,0.962,0,-3.54,1,0.0496,7.9e-05,1.89e-05,0.382,0.626,108.187,audio_features,3uaN8CPKK8rvCoSjfYZOPH,spotify:track:3uaN8CPKK8rvCoSjfYZOPH,https://api.spotify.com/v1/tracks/3uaN8CPKK8rvCoSjfYZOPH,https://api.spotify.com/v1/audio-analysis/3uaN8CPKK8rvCoSjfYZOPH,181800,4
Jump Jive An' Wail,The Brian Setzer Orchestra,48,0.638,0.811,8,-5.43,1,0.117,0.0311,0.0,0.144,0.915,101.154,audio_features,7FuRjlwyTY9uTAUgGpZtJU,spotify:track:7FuRjlwyTY9uTAUgGpZtJU,https://api.spotify.com/v1/tracks/7FuRjlwyTY9uTAUgGpZtJU,https://api.spotify.com/v1/audio-analysis/7FuRjlwyTY9uTAUgGpZtJU,172933,4
Mr. Pinstripe Suit,Big Bad Voodoo Daddy,47,0.656,0.735,6,-6.531,0,0.0702,0.0259,4.04e-06,0.0755,0.738,107.612,audio_features,1cp7pENCkTI63S6TIjFyVN,spotify:track:1cp7pENCkTI63S6TIjFyVN,https://api.spotify.com/v1/tracks/1cp7pENCkTI63S6TIjFyVN,https://api.spotify.com/v1/audio-analysis/1cp7pENCkTI63S6TIjFyVN,217800,4
Hell - Remastered 2016,Squirrel Nut Zippers,47,0.566,0.806,2,-7.65,1,0.062,0.457,0.000124,0.104,0.793,103.295,audio_features,4efAv86uRxR4yQBcb3Vczq,spotify:track:4efAv86uRxR4yQBcb3Vczq,https://api.spotify.com/v1/tracks/4efAv86uRxR4yQBcb3Vczq,https://api.spotify.com/v1/audio-analysis/4efAv86uRxR4yQBcb3Vczq,192960,4
Everybody's Talkin' Bout Miss Thing!,Lavay Smith & Her Red Hot Skillet Lickers,41,0.484,0.491,0,-8.89,0,0.106,0.463,0.000147,0.134,0.801,199.262,audio_features,7wBss3MP3jfqAwPMT3L75S,spotify:track:7wBss3MP3jfqAwPMT3L75S,https://api.spotify.com/v1/tracks/7wBss3MP3jfqAwPMT3L75S,https://api.spotify.com/v1/audio-analysis/7wBss3MP3jfqAwPMT3L75S,191267,4
5-10-15 Hours,Blue Harlem,40,0.679,0.508,8,-4.738,1,0.0366,0.697,4.87e-06,0.0981,0.83,128.294,audio_features,6s7xYIfyIZSYXUUwqmSkXO,spotify:track:6s7xYIfyIZSYXUUwqmSkXO,https://api.spotify.com/v1/tracks/6s7xYIfyIZSYXUUwqmSkXO,https://api.spotify.com/v1/audio-analysis/6s7xYIfyIZSYXUUwqmSkXO,197373,4
The Shim Sham Song,Bill Elliott Swing Orchestra,39,0.483,0.46,5,-9.09,0,0.0944,0.683,8.49e-06,0.254,0.84,166.266,audio_features,4ayZeCFcpODpQMwz9PRDQN,spotify:track:4ayZeCFcpODpQMwz9PRDQN,https://api.spotify.com/v1/tracks/4ayZeCFcpODpQMwz9PRDQN,https://api.spotify.com/v1/audio-analysis/4ayZeCFcpODpQMwz9PRDQN,180640,4
Minnie The Moocher,Big Bad Voodoo Daddy,42,0.485,0.501,0,-5.715,1,0.0421,0.316,4.35e-06,0.0802,0.416,92.307,audio_features,0LFIogdKLhuH3y1Tf78EYW,spotify:track:0LFIogdKLhuH3y1Tf78EYW,https://api.spotify.com/v1/tracks/0LFIogdKLhuH3y1Tf78EYW,https://api.spotify.com/v1/audio-analysis/0LFIogdKLhuH3y1Tf78EYW,299147,4
This Cat's On A Hot Tin Roof,The Brian Setzer Orchestra,38,0.535,0.904,0,-5.186,1,0.108,0.0171,0.0,0.365,0.768,97.942,audio_features,4CAwwZXWojksW05Q2pD840,spotify:track:4CAwwZXWojksW05Q2pD840,https://api.spotify.com/v1/tracks/4CAwwZXWojksW05Q2pD840,https://api.spotify.com/v1/audio-analysis/4CAwwZXWojksW05Q2pD840,139467,4
