song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
La Belle De Jour,Alceu Valença,60,0.62,0.479,0,-9.888,1,0.0321,0.196,0.000406,0.191,0.661,104.83,audio_features,0c8aqUb7e0K9uNhxejfV23,spotify:track:0c8aqUb7e0K9uNhxejfV23,https://api.spotify.com/v1/tracks/0c8aqUb7e0K9uNhxejfV23,https://api.spotify.com/v1/audio-analysis/0c8aqUb7e0K9uNhxejfV23,269427,4
Se... (Ao Vivo),Djavan,61,0.586,0.591,9,-8.332,1,0.0299,0.698,0,0.959,0.565,95.603,audio_features,5ZnmWmQB74hJ9geBL9bY3R,spotify:track:5ZnmWmQB74hJ9geBL9bY3R,https://api.spotify.com/v1/tracks/5ZnmWmQB74hJ9geBL9bY3R,https://api.spotify.com/v1/audio-analysis/5ZnmWmQB74hJ9geBL9bY3R,287267,4
Chão de Giz,Zé Ramalho,67,0.666,0.44,7,-9.32,1,0.0333,0.836,0.00133,0.198,0.341,143.853,audio_features,4XYdH6H7haUCeEm9YezQ9K,spotify:track:4XYdH6H7haUCeEm9YezQ9K,https://api.spotify.com/v1/tracks/4XYdH6H7haUCeEm9YezQ9K,https://api.spotify.com/v1/audio-analysis/4XYdH6H7haUCeEm9YezQ9K,271227,3
Pra Você Guardei O Amor,Nando Reis & Ana Cañas,69,0.485,0.386,2,-9.189,1,0.0388,0.837,0,0.207,0.354,91.615,audio_features,1EQ8sBQ7Abv9DvNBzhXAcv,spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv,https://api.spotify.com/v1/tracks/1EQ8sBQ7Abv9DvNBzhXAcv,https://api.spotify.com/v1/audio-analysis/1EQ8sBQ7Abv9DvNBzhXAcv,343813,4
Pequena,Lado de Cá,58,0.761,0.718,2,-6.699,0,0.0275,0.33,0.0403,0.15,0.363,125.025,audio_features,2xz1Ff4UfCPdqgCUYXGE4M,spotify:track:2xz1Ff4UfCPdqgCUYXGE4M,https://api.spotify.com/v1/tracks/2xz1Ff4UfCPdqgCUYXGE4M,https://api.spotify.com/v1/audio-analysis/2xz1Ff4UfCPdqgCUYXGE4M,161472,4
Quem Sabe Isso Quer Dizer Amor,Milton Nascimento,61,0.568,0.521,7,-9.234,1,0.0407,0.372,8.99e-05,0.129,0.428,151.998,audio_features,67UiC5PaQlxa2uVugbwjw3,spotify:track:67UiC5PaQlxa2uVugbwjw3,https://api.spotify.com/v1/tracks/67UiC5PaQlxa2uVugbwjw3,https://api.spotify.com/v1/audio-analysis/67UiC5PaQlxa2uVugbwjw3,239933,4
Sozinho - Ao Vivo,Caetano Veloso,64,0.481,0.284,11,-14.762,0,0.186,0.634,0.000168,0.91,0.528,83.979,audio_features,02a8cGumnKuEPgoCzmalJp,spotify:track:02a8cGumnKuEPgoCzmalJp,https://api.spotify.com/v1/tracks/02a8cGumnKuEPgoCzmalJp,https://api.spotify.com/v1/audio-analysis/02a8cGumnKuEPgoCzmalJp,190533,3
Como Eu Quero - Ao Vivo,Kid Abelha,61,0.536,0.511,9,-7.221,0,0.0291,0.327,0.00056,0.844,0.38,123.997,audio_features,6abOIvFKsOkJ10I50XwhZ1,spotify:track:6abOIvFKsOkJ10I50XwhZ1,https://api.spotify.com/v1/tracks/6abOIvFKsOkJ10I50XwhZ1,https://api.spotify.com/v1/audio-analysis/6abOIvFKsOkJ10I50XwhZ1,286877,4
Bem Perto,Pedro Mariano,51,0.691,0.517,7,-9.4,1,0.102,0.69,0,0.0814,0.834,83.878,audio_features,50MQqZ9jicoJQOdAzSWjvw,spotify:track:50MQqZ9jicoJQOdAzSWjvw,https://api.spotify.com/v1/tracks/50MQqZ9jicoJQOdAzSWjvw,https://api.spotify.com/v1/audio-analysis/50MQqZ9jicoJQOdAzSWjvw,223015,4
Ai Que Saudade D'Ocê,Elba Ramalho & Zé Ramalho,62,0.723,0.596,2,-10.124,1,0.0692,0.356,0,0.15,0.413,112.121,audio_features,69WUlAhRkKerjAxMdyaUlZ,spotify:track:69WUlAhRkKerjAxMdyaUlZ,https://api.spotify.com/v1/tracks/69WUlAhRkKerjAxMdyaUlZ,https://api.spotify.com/v1/audio-analysis/69WUlAhRkKerjAxMdyaUlZ,173027,4
Sutilmente,Skank,67,0.587,0.632,6,-7.254,1,0.0241,0.745,2.88e-05,0.0624,0.459,100.002,audio_features,4pG8lbKPKkfGSniMXxZTM7,spotify:track:4pG8lbKPKkfGSniMXxZTM7,https://api.spotify.com/v1/tracks/4pG8lbKPKkfGSniMXxZTM7,https://api.spotify.com/v1/audio-analysis/4pG8lbKPKkfGSniMXxZTM7,242507,4
Amor pra recomeçar,Frejat,51,0.564,0.856,7,-4.994,1,0.0363,0.215,0,0.337,0.726,120.528,audio_features,3Xomal5ygcaPbGUwVqVtEg,spotify:track:3Xomal5ygcaPbGUwVqVtEg,https://api.spotify.com/v1/tracks/3Xomal5ygcaPbGUwVqVtEg,https://api.spotify.com/v1/audio-analysis/3Xomal5ygcaPbGUwVqVtEg,214627,4
Estrela - Congênito,Ricardo Bacelar,44,0.729,0.633,0,-8.676,1,0.0293,0.149,0.0653,0.119,0.675,120.012,audio_features,42dMdkTcTq8kcWN6LUUdDT,spotify:track:42dMdkTcTq8kcWN6LUUdDT,https://api.spotify.com/v1/tracks/42dMdkTcTq8kcWN6LUUdDT,https://api.spotify.com/v1/audio-analysis/42dMdkTcTq8kcWN6LUUdDT,254150,4
Pra Dizer Adeus - Ao Vivo,Titãs,63,0.544,0.805,7,-9.591,1,0.0334,0.0335,0,0.67,0.654,127.793,audio_features,1RxAzmAuN6KldKrMeVKkf2,spotify:track:1RxAzmAuN6KldKrMeVKkf2,https://api.spotify.com/v1/tracks/1RxAzmAuN6KldKrMeVKkf2,https://api.spotify.com/v1/audio-analysis/1RxAzmAuN6KldKrMeVKkf2,222427,4
Só Hoje,Jota Quest,65,0.539,0.742,7,-5.333,1,0.0366,0.154,0,0.103,0.556,144.183,audio_features,1sClAsuPNqEaza29NcaJKP,spotify:track:1sClAsuPNqEaza29NcaJKP,https://api.spotify.com/v1/tracks/1sClAsuPNqEaza29NcaJKP,https://api.spotify.com/v1/audio-analysis/1sClAsuPNqEaza29NcaJKP,211360,4
Anunciação - Sessions,Mariana Nolasco,65,0.541,0.118,0,-15.338,1,0.0547,0.938,0,0.12,0.399,140.155,audio_features,2KHy5ac4tiPYXCzMd1rRrK,spotify:track:2KHy5ac4tiPYXCzMd1rRrK,https://api.spotify.com/v1/tracks/2KHy5ac4tiPYXCzMd1rRrK,https://api.spotify.com/v1/audio-analysis/2KHy5ac4tiPYXCzMd1rRrK,165427,4
Vamos Fugir,Skank,66,0.6,0.751,6,-5.66,0,0.0358,0.191,0,0.0846,0.73,135.989,audio_features,7dxK6RSoCWZcb5gobxs1h9,spotify:track:7dxK6RSoCWZcb5gobxs1h9,https://api.spotify.com/v1/tracks/7dxK6RSoCWZcb5gobxs1h9,https://api.spotify.com/v1/audio-analysis/7dxK6RSoCWZcb5gobxs1h9,240133,4
