song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Somethin' Bout Love,Brian Culbertson,41,0.562,0.63,7,-9.083,0,0.0392,0.457,0.408,0.0578,0.684,174.126,audio_features,0nbpJT18zdfjt0dN2tds9h,spotify:track:0nbpJT18zdfjt0dN2tds9h,https://api.spotify.com/v1/tracks/0nbpJT18zdfjt0dN2tds9h,https://api.spotify.com/v1/audio-analysis/0nbpJT18zdfjt0dN2tds9h,285733,4
The Last Kiss,Brian Simpson,41,0.678,0.717,5,-9.119,0,0.031,0.325,0.431,0.0701,0.782,100.001,audio_features,3nzFxR6SXAMnAnrRv37GvP,spotify:track:3nzFxR6SXAMnAnrRv37GvP,https://api.spotify.com/v1/tracks/3nzFxR6SXAMnAnrRv37GvP,https://api.spotify.com/v1/audio-analysis/3nzFxR6SXAMnAnrRv37GvP,222853,4
Take-Out Dreams,Warren Hill,41,0.567,0.627,0,-9.82,1,0.0371,0.123,0.0443,0.356,0.476,86.301,audio_features,0Bg4h1WNPOuUaLVjharMGK,spotify:track:0Bg4h1WNPOuUaLVjharMGK,https://api.spotify.com/v1/tracks/0Bg4h1WNPOuUaLVjharMGK,https://api.spotify.com/v1/audio-analysis/0Bg4h1WNPOuUaLVjharMGK,325667,4
Paradise,Norman Brown,40,0.634,0.534,9,-9.086,0,0.0298,0.693,0.782,0.0599,0.437,76.984,audio_features,4iEcxF2XFAGquAOrQlXoBv,spotify:track:4iEcxF2XFAGquAOrQlXoBv,https://api.spotify.com/v1/tracks/4iEcxF2XFAGquAOrQlXoBv,https://api.spotify.com/v1/audio-analysis/4iEcxF2XFAGquAOrQlXoBv,265893,4
Just Between Us,Boney James,40,0.604,0.59,7,-9.718,0,0.0338,0.0943,0.314,0.0633,0.697,90.117,audio_features,2r2A4NxWuFD9x0RxB2zthQ,spotify:track:2r2A4NxWuFD9x0RxB2zthQ,https://api.spotify.com/v1/tracks/2r2A4NxWuFD9x0RxB2zthQ,https://api.spotify.com/v1/audio-analysis/2r2A4NxWuFD9x0RxB2zthQ,289867,4
Brazilia,Wayman Tisdale,40,0.682,0.774,4,-9.598,0,0.0331,0.72,0.897,0.213,0.62,96.878,audio_features,1u4RewzgMEpsUQOojZrG4Y,spotify:track:1u4RewzgMEpsUQOojZrG4Y,https://api.spotify.com/v1/tracks/1u4RewzgMEpsUQOojZrG4Y,https://api.spotify.com/v1/audio-analysis/1u4RewzgMEpsUQOojZrG4Y,238800,4
In the Moment,Althea Rene,40,0.698,0.571,0,-13.352,1,0.0417,0.112,0.831,0.141,0.809,95.008,audio_features,3fIjgiM4QNP8xz6MyUwetQ,spotify:track:3fIjgiM4QNP8xz6MyUwetQ,https://api.spotify.com/v1/tracks/3fIjgiM4QNP8xz6MyUwetQ,https://api.spotify.com/v1/audio-analysis/3fIjgiM4QNP8xz6MyUwetQ,251960,4
Anything and Everything,Chieli Minucci,40,0.635,0.581,2,-10.707,1,0.0373,0.601,0.94,0.107,0.613,90.367,audio_features,67nk03tcRdD1QEt1nOp92g,spotify:track:67nk03tcRdD1QEt1nOp92g,https://api.spotify.com/v1/tracks/67nk03tcRdD1QEt1nOp92g,https://api.spotify.com/v1/audio-analysis/67nk03tcRdD1QEt1nOp92g,294733,4
Without Your Love,Brian Culbertson,40,0.617,0.456,5,-12.172,0,0.0385,0.518,0.617,0.0606,0.586,171.95,audio_features,0SZjsb1TGyEMOH3LfI5tAw,spotify:track:0SZjsb1TGyEMOH3LfI5tAw,https://api.spotify.com/v1/tracks/0SZjsb1TGyEMOH3LfI5tAw,https://api.spotify.com/v1/audio-analysis/0SZjsb1TGyEMOH3LfI5tAw,288800,4
Get Here,Eric Marienthal,39,0.579,0.415,1,-7.024,1,0.028,0.724,0.312,0.116,0.124,107.94,audio_features,6ojF0t5M1HSB0nsMqPKRya,spotify:track:6ojF0t5M1HSB0nsMqPKRya,https://api.spotify.com/v1/tracks/6ojF0t5M1HSB0nsMqPKRya,https://api.spotify.com/v1/audio-analysis/6ojF0t5M1HSB0nsMqPKRya,267400,4
